City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Bontang,ID,0.1333,117.5,76.35,91,100,4.54,overcast clouds
318,Nuristan,AF,35.3,70.8333,8.89,67,7,15.73,clear sky
319,Mazatan,MX,14.8667,-92.45,87.87,66,20,11.5,few clouds
320,Katobu,ID,-4.9408,122.5276,75.72,91,100,2.46,overcast clouds
321,Grand Gaube,MU,-20.0064,57.6608,70.2,69,1,1.99,clear sky
322,Bathsheba,BB,13.2167,-59.5167,83.01,74,20,16.11,few clouds
323,Araouane,ML,18.9048,-3.5265,76.48,14,87,9.98,overcast clouds
324,Rio Grande,BR,-32.035,-52.0986,87.91,61,0,6.26,clear sky
325,Palmer,US,42.1584,-72.3287,43.86,72,75,19.57,broken clouds
326,Portland,US,45.5234,-122.6762,54.97,51,20,13.8,few clouds
327,Adwa,ET,14.1646,38.8955,57.24,42,3,3.44,clear sky
328,Chapais,CA,49.7834,-74.8492,20.98,95,100,5.55,light snow
329,Monroe,US,43.1501,-77.6831,39.85,81,100,9.22,overcast clouds
330,Peniche,PT,39.3558,-9.3811,65.1,94,100,18.88,overcast clouds
331,Mehamn,NO,71.0357,27.8492,37.35,56,0,11.5,clear sky
332,Tiarei,PF,-17.5333,-149.3333,82.42,75,81,5.17,broken clouds
333,Ngama,TD,11.7833,17.1667,77.13,25,9,9.84,clear sky
334,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.79,67,0,8.95,clear sky
335,Dekar,BW,-21.5333,21.9333,78.75,37,81,6.91,broken clouds
336,Fairbanks,US,64.8378,-147.7164,17.6,86,0,0.0,clear sky
337,Okhotsk,RU,59.3833,143.3,-5.1,79,9,15.1,clear sky
338,Leshukonskoye,RU,64.8989,45.7622,23.94,97,100,3.42,overcast clouds
339,Faya,SA,18.3851,42.4509,55.51,69,0,1.81,clear sky
340,San Juan,AR,-31.5375,-68.5364,97.88,12,3,10.22,clear sky
341,Suozhen,CN,36.9539,118.1047,48.16,49,0,4.9,clear sky
342,Birjand,IR,32.8663,59.2211,39.67,30,0,4.61,clear sky
343,Foam Lake,CA,51.65,-103.5343,21.22,89,100,17.85,overcast clouds
344,Marsh Harbour,BS,26.5412,-77.0636,79.41,74,46,5.19,scattered clouds
345,Nantucket,US,41.2835,-70.0995,53.71,84,75,21.85,broken clouds
